Year,WeekOfYear,ToolSerialNumber,ParameterSetId,MondayRatio,MondayNumberOfOkScrewings,MondayNumberOfNokScrewings,TuesdayRatio,TuesdayNumberOfOkScrewings,TuesdayNumberOfNokScrewings,WednesdayRatio,WednesdayNumberOfOkScrewings,WednesdayNumberOfNokScrewings,ThursdayRatio,ThursdayNumberOfOkScrewings,ThursdayNumberOfNokScrewings,FridayRatio,FridayNumberOfOkScrewings,FridayNumberOfNokScrewings,SaturdayRatio,SaturdayNumberOfOkScrewings,SaturdayNumberOfNokScrewings,SundayRatio,SundayNumberOfOkScrewings,SundayNumberOfNokScrewings,NumberOfWeeklyOkScrewings,NumberOfWeeklyNokScrewings,WeeklyOkNokRatio
2022,8,"F3660289      ",37,0.11710037,538,63,0.13148148,540,71,0.14575645,542,79,0.1598513,538,86,0.064638786,526,34,0.14322917,384,55,0.06521739,46,3,3114,391,0.12556198
2022,9,"F3660289      ",37,0.17,500,85,0.08064516,496,40,0.12660944,466,59,0.05670103,388,22,0.06666667,510,34,0.083333336,108,9,0,51,0,2519,249,0.09884875
2022,9,"F3660289      ",14,0.01058201,1134,12,0.006013746,1164,7,0.0041528237,1204,5,0.0044444446,1125,5,0.020729685,1206,25,0.011111111,270,3,0,108,0,6211,57,0.009177266
2022,9,"F3660289      ",15,0.005291005,378,2,0.0025773195,388,1,0.012468828,401,5,0.04,375,15,0.012437811,402,5,0.021978023,91,2,0.027777778,36,1,2071,31,0.014968614
2022,9,"B5582642      ",3,0.052734375,1536,81,0.036848795,1574,58,0.027431421,1604,44,0.07939632,1524,121,0.034722224,1584,55,0.008241759,364,3,0.29285714,140,41,8326,403,0.048402593
2022,10,"B5582642      ",3,0.010869565,1012,11,0.012642225,1582,20,0.020304568,1576,32,0.042384107,1510,64,0.06912145,1548,107,0.06735751,386,26,0,16,0,7630,260,0.034076016
2022,10,"F3660289      ",37,0.18181819,264,48,0.09171598,338,31,0.08037825,423,34,0.09798995,398,39,0.108597286,442,48,0.16666667,90,15,0.5,2,1,1957,216,0.11037302
2022,10,"F3660289      ",14,0.033738192,741,25,0.025974026,1155,30,0.006092254,1149,7,0.01684397,1128,19,0.025573192,1134,29,0.007017544,285,2,0,12,0,5604,112,0.019985724
2022,10,"F3660289      ",15,0.016194332,247,4,0.007792208,385,3,0.015665796,383,6,0.00795756,377,3,0.02116402,378,8,0.021052632,95,2,0,4,0,1869,26,0.013911182
2022,11,"F3660289      ",37,0,0,0,0,0,0,0.102564104,195,20,0.114285715,105,12,0.07339449,218,16,0.07692308,195,15,0,0,0,713,63,0.08835904
2022,11,"F3660289      ",14,0,0,0,0,0,0,0.025641026,429,11,0.023529412,255,6,0.024096385,498,12,0.034246575,438,15,0,0,0,1620,44,0.027160494
2022,11,"F3660289      ",15,0,0,0,0,0,0,0.013986014,143,2,0.03529412,85,3,0.018072288,166,3,0.01369863,146,2,0,0,0,540,10,0.018518519
2022,11,"B5582642      ",3,0,0,0,0,0,0,0.07885305,558,44,0.14371258,334,48,0.16666667,690,115,0.05610561,606,34,0,0,0,2188,241,0.110146254
2022,12,"F3660289      ",37,0.10313901,223,23,0.10928962,183,20,0.12138728,173,21,0.043269232,208,9,0.073275864,232,17,0.13090909,275,36,0,0,0,1294,126,0.09737249
2022,12,"F3660289      ",14,0.07272727,495,36,0.033932135,501,17,0.03652968,438,16,0.028520498,561,16,0.014227643,492,7,0.032015067,531,17,0,0,0,3018,109,0.036116634
2022,12,"F3660289      ",15,0.018181818,165,3,0.023952097,167,4,0.006849315,146,1,0.021390375,187,4,0,164,0,0.02259887,177,4,0,0,0,1006,16,0.015904572
2022,12,"B5582642      ",3,0.10381679,655,68,0.11692308,650,76,0.04385965,570,25,0.023415977,726,17,0.24212599,508,123,0,0,0,0,0,0,3109,309,0.09938887
2022,13,"F3660289      ",37,0.094827585,232,22,0.0746888,241,18,0.031111112,225,7,0.13468014,297,40,0.15899582,239,38,0,0,0,0,0,0,1234,125,0.101296596
2022,13,"F3660289      ",14,0.01754386,513,9,0.030303031,561,17,0.012891345,543,7,0.028764805,591,17,0.017921148,558,10,0,0,0,0,0,0,2766,60,0.021691974
2022,13,"F3660289      ",15,0.0058479533,171,1,0,187,0,0.005524862,181,1,0.035532996,197,7,0.005376344,186,1,0,0,0,0,0,0,922,10,0.010845987
2022,14,"F3660289      ",14,0.020344287,639,13,0.02739726,657,18,0.021909233,639,14,0.017133957,642,11,0.0029239766,684,2,0,0,0,0,0,0,3261,58,0.017785955
2022,14,"F3660289      ",15,0.0093896715,213,2,0.01826484,219,4,0.0093896715,213,2,0.004672897,214,1,0.008733625,229,2,0,0,0,0,0,0,1088,11,0.010110294
2022,14,"F3660289      ",37,0.07070707,297,21,0.072413795,290,21,0.1446281,242,35,0.102564104,234,24,0.0543131,313,17,0,0,0,0,0,0,1376,118,0.08575582
2022,14,"B5582642      ",3,0,0,0,0,0,0,0,0,0,0.062,500,31,0.03736264,910,34,0,0,0,0,0,0,1410,65,0.04609929
2022,16,"B5582642      ",3,0,0,0,0.046442688,1012,47,0.030283505,1552,47,0.035807293,1536,55,0.054616384,1538,84,0.020408163,392,8,0.06153846,130,8,6160,249,0.04042208
2022,16,"F3660289      ",37,0,0,0,0.042296074,331,14,0.05668016,494,28,0.040339705,471,19,0.06614786,514,34,0.07826087,115,9,0,39,0,1964,104,0.052953158
2022,16,"F3660289      ",14,0,0,0,0.010178117,786,8,0.0042301184,1182,5,0.006802721,1176,8,0.007575758,1188,9,0,291,0,0.010416667,96,1,4719,31,0.0065691886
2022,16,"F3660289      ",15,0,0,0,0,262,0,0,394,0,0.0025510204,392,1,0.005050505,396,2,0,97,0,0,32,0,1573,3,0.0019071837
2022,17,"F3660289      ",14,0.008460237,1182,10,0.008547009,1170,10,0.0027075813,1108,3,0.012444444,1125,14,0.0016792611,1191,2,0.008130081,369,3,0,0,0,6145,42,0.006834825
2022,17,"F3660289      ",15,0.002538071,394,1,0.0025641026,390,1,0.0027100272,369,1,0.013297873,376,5,0,397,0,0.016129032,124,2,0,0,0,2050,10,0.004878049
2022,17,"B5582642      ",3,0.055912595,1556,87,0.109652005,1523,167,0.07147814,1441,103,0.059379216,1482,88,0.0639122,1549,99,0.047131147,488,23,0,0,0,8039,567,0.07053116
2022,17,"F3660289      ",37,0.07090909,550,39,0.090073526,544,49,0.03916449,383,15,0.086053416,337,29,0.042857144,350,15,0.024,125,3,0,0,0,2289,150,0.0655308
2022,17,"F3660289      ",5,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
2022,18,"B5582642      ",3,0.09536082,1164,111,0.0794155,1574,125,0.05562579,1582,88,0.07350097,1551,114,0.060923077,1625,99,0.04255319,376,16,0.22222222,126,28,7998,581,0.07264316
2022,18,"F3660289      ",14,0.0022371365,894,2,0.014418999,1179,17,0.010169491,1180,12,0.010265184,1169,12,0.0067001674,1194,8,0.013888889,288,4,0.012345679,81,1,5985,56,0.009356725
2022,18,"F3660289      ",15,0,298,0,0.002538071,394,1,0.010178117,393,4,0,390,0,0,398,0,0,96,0,0,27,0,1996,5,0.00250501
2022,18,"F3660289      ",37,0.045138888,288,13,0.058375634,394,23,0.12713936,409,52,0.10869565,414,45,0.07359307,462,34,0.069767445,129,9,0.028571429,35,1,2131,177,0.083059594
2022,19,"F3660289      ",14,0.004914005,1221,6,0.010092515,1189,12,0.0154639175,1164,18,0.015652174,1150,18,0.010224949,978,10,0,0,0,0,0,0,5702,64,0.011224132
2022,19,"B5582642      ",3,0.082767144,1619,134,0.0889029,1586,141,0.11473273,1534,176,0.045688547,1554,71,0.109363295,1335,146,0,0,0,0,0,0,7628,668,0.087572105
2022,19,"F3660289      ",15,0.004914005,407,2,0.01010101,396,4,0.005154639,388,2,0.007832898,383,3,0.012269938,326,4,0,0,0,0,0,0,1900,15,0.007894737
2022,19,"F3660289      ",37,0.05357143,504,27,0.047916666,480,23,0.045544554,505,23,0.041749503,503,21,0.09677419,434,42,0,0,0,0,0,0,2426,136,0.056059357
