Year,WeekOfYear,ToolSerialNumber,ParameterSetId,MondayRatio,MondayNumberOfOkScrewings,MondayNumberOfNokScrewings,TuesdayRatio,TuesdayNumberOfOkScrewings,TuesdayNumberOfNokScrewings,WednesdayRatio,WednesdayNumberOfOkScrewings,WednesdayNumberOfNokScrewings,ThursdayRatio,ThursdayNumberOfOkScrewings,ThursdayNumberOfNokScrewings,FridayRatio,FridayNumberOfOkScrewings,FridayNumberOfNokScrewings,SaturdayRatio,SaturdayNumberOfOkScrewings,SaturdayNumberOfNokScrewings,SundayRatio,SundayNumberOfOkScrewings,SundayNumberOfNokScrewings,NumberOfWeeklyOkScrewings,NumberOfWeeklyNokScrewings,WeeklyOkNokRatio
2022,33,"F3660289      ",14,0.008196721,732,6,0.013386881,747,10,0.022959184,784,18,0.03088803,777,24,0.012531328,798,10,0,0,0,0,0,0,3838,68,0.01771756
2022,33,"F3660289      ",15,0.0040983604,244,1,0,249,0,0,261,0,0.0038610038,259,1,0.007518797,266,2,0,0,0,0,0,0,1279,4,0.0031274434
2022,33,"F3660289      ",100,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.33333334
2022,34,"B5582642      ",3,0.023764258,1052,25,0.17017208,1046,178,0.05212355,1036,54,0.054409005,1066,58,0.020467836,1026,21,0.05888031,1036,61,0,0,0,6262,397,0.06339827
2022,34,"F3660289      ",14,0.007782101,771,6,0.0064102565,780,5,0.010217113,783,8,0.005148005,777,4,0.014322917,768,11,0.016861219,771,13,0,0,0,4650,47,0.010107527
2022,34,"F3660289      ",15,0,257,0,0,260,0,0,261,0,0.0038610038,259,1,0,256,0,0.0038910506,257,1,0,0,0,1550,2,0.0012903226
2022,34,"F3660289      ",37,0.04910714,224,11,0.052419353,248,13,0.051282052,234,12,0.055793993,233,13,0.08527132,258,22,0.08627451,255,22,0,0,0,1452,93,0.06404959
2022,34,"F3660289      ",100,0,1,0,1,0,1,2,0,2,0,1,0,1,1,1,2,0,2,0,0,0,3,6,2
2022,35,"B5582642      ",3,0.045816734,1004,46,0.038610037,1036,40,0.054054055,1036,56,0.038011696,1026,39,0.10752688,1023,110,0.049335863,1054,52,0,0,0,6179,343,0.0555106
2022,35,"F3660289      ",14,0,738,0,0.0026143792,765,2,0.011450382,786,9,0.010050251,796,8,0.009485095,738,7,0.009020618,776,7,0,0,0,4599,33,0.007175473
2022,35,"F3660289      ",15,0.008130081,246,2,0,255,0,0.003816794,262,1,0,265,0,0,246,0,0.023255814,258,6,0,0,0,1532,9,0.005874674
2022,35,"F3660289      ",37,0.0877193,285,25,0.059760958,251,15,0.08868501,327,29,0.046979867,298,14,0.10084034,238,24,0.26217228,267,70,0,0,0,1666,177,0.1062425
2022,35,"F3660289      ",100,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,2,3,1.5
2022,36,"F3660289      ",14,0.0013280213,753,1,0.007968128,753,6,0.017478153,801,14,0.004,750,3,0.006385696,783,5,0.0028612304,699,2,0,0,0,4539,31,0.006829698
2022,36,"F3660289      ",15,0,251,0,0,251,0,0.0037453184,267,1,0,250,0,0.007662835,261,2,0,233,0,0,0,0,1513,3,0.0019828156
2022,36,"B5582642      ",3,0.024606299,1016,25,0.06958251,1006,70,0.109962404,1064,117,0.028599605,1014,29,0.08695652,1058,92,0.031380754,956,30,0,0,0,6114,363,0.059371933
2022,36,"F3660289      ",37,0.07762557,219,17,0.09606987,229,22,0.05685619,299,17,0.06938776,245,17,0.08906882,247,22,0.057017542,228,13,0,0,0,1467,108,0.073619634
2022,36,"F3660289      ",100,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,2,2,1
2022,37,"B5582642      ",3,0.12438785,1021,127,0.04536862,1058,48,0.10437376,1006,105,0.16171004,1076,174,0.040139616,1146,46,0,0,0,0,0,0,5307,500,0.094215184
2022,37,"F3660289      ",14,0.009186352,762,7,0.009043927,774,7,0.024,750,18,0.01728395,810,14,0.0071174377,843,6,0,0,0,0,0,0,3939,52,0.013201321
2022,37,"F3660289      ",15,0,254,0,0.007751938,258,2,0.012,250,3,0.0074074073,270,2,0,281,0,0,0,0,0,0,0,1313,7,0.0053313025
2022,37,"F3660289      ",37,0.026217228,267,7,0.14909092,275,41,0.12741312,259,33,0.06390978,266,17,0.17672414,232,41,0,0,0,0,0,0,1299,139,0.10700539
2022,37,"F3660289      ",100,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0.5
2022,37,"F3660289      ",5,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,29,0,0
2022,38,"B5582642      ",3,0,0,0,0,0,0,0.10285714,1050,108,0.046679817,1521,71,0.045233123,1437,65,0.024590164,366,9,0.01898734,158,3,4532,256,0.056487203
2022,38,"F3660289      ",14,0,0,0,0,0,0,0.01119403,804,9,0.0070360596,1137,8,0.015065913,1062,16,0.032520324,246,8,0,144,0,3393,41,0.012083702
2022,38,"F3660289      ",15,0,0,0,0,0,0,0,268,0,0.005277045,379,2,0.008474576,354,3,0.024390243,82,2,0,48,0,1131,7,0.006189213
2022,38,"F3660289      ",37,0,0,0,0,0,0,0.08733624,229,20,0.053072624,358,19,0.064896755,339,22,0.22093023,86,19,0.1590909,44,7,1056,87,0.08238637
2022,38,"F3660289      ",100,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,1,2,2
2022,39,"B5582642      ",3,0.07638889,1440,110,0.046193883,1537,71,0.040897097,1516,62,0.04025157,1590,64,0.051395006,681,35,0,0,0,0.046296295,216,10,6980,352,0.0504298
2022,39,"F3660289      ",14,0.018755328,1173,22,0.021645023,1155,25,0.016710643,1137,19,0.022222223,1170,26,0.009689922,516,5,0,0,0,0.007575758,132,1,5283,98,0.018550066
2022,39,"F3660289      ",15,0.023017902,391,9,0.0078125,384,3,0.007894737,380,3,0.0051282053,390,2,0.0058139535,172,1,0,0,0,0,44,0,1761,18,0.0102214655
2022,39,"F3660289      ",37,0.09917355,363,36,0.09042553,376,34,0.06905371,391,27,0.07836991,319,25,0.13402061,194,26,0,0,0,0.31914893,47,15,1690,163,0.0964497
2022,39,"F3660289      ",100,0.5,2,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,6,3,0.5
2022,40,"F3660289      ",14,0.011743451,1107,13,0.021645023,1155,25,0.017948719,1170,21,0.015665796,1149,18,0.008928572,1120,10,0.011594203,1035,12,0,0,0,6736,99,0.014697149
2022,40,"F3660289      ",15,0,369,0,0.012987013,385,5,0.010256411,390,4,0.010471204,382,4,0.008042895,373,3,0.023188407,345,8,0,0,0,2244,24,0.010695187
2022,40,"B5582642      ",3,0.06118421,1520,93,0.080788806,1572,127,0.06418485,1558,100,0.11111111,1566,174,0.08210948,1498,123,0.09949893,1397,139,0,0,0,9111,756,0.082976624
2022,40,"F3660289      ",37,0.100890204,337,34,0.084337346,415,35,0.13569938,479,65,0.06896552,406,28,0.13317756,428,57,0.10512129,371,39,0,0,0,2436,258,0.10591133
2022,40,"F3660289      ",100,0,1,0,1,1,1,0,0,0,0.5,2,1,2,0,2,0,0,0,0,0,0,4,4,1
2022,41,"F3660289      ",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,0,0
2022,42,"B5582642      ",3,0.07984293,1528,122,0.06696428,1568,105,0.05102041,1568,80,0.1013986,1430,145,0.119184196,1569,187,0.051532034,1436,74,0,0,0,9099,713,0.07836026
2022,41,"B5582642      ",3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14655173,116,17,126,17,0.13492064
2022,41,"F3660289      ",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,63,0,0
2022,41,"F3660289      ",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074075,27,2,27,2,0.074074075
2022,42,"F3660289      ",14,0.009856631,1116,11,0.007575758,1188,9,0.013991769,1215,17,0.017391304,1035,18,0.024242423,1155,28,0.014164306,1059,15,0,0,0,6768,98,0.014479905
2022,42,"F3660289      ",15,0.01344086,372,5,0.007575758,396,3,0,405,0,0.008720931,344,3,0.005194805,385,2,0.019886363,352,7,0,0,0,2254,20,0.008873114
2022,42,"F3660289      ",37,0.10983982,437,48,0.103286386,426,44,0.081858404,452,37,0.102902375,379,39,0.106481485,432,46,0.2425,400,97,0,0,0,2526,311,0.123119555
2022,41,"F3660289      ",5,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0
2022,41,"F3660289      ",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2022,42,"F3660289      ",100,0,1,0,2,0,2,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,4,3,0.75
