ToolSerialNumber,ParameterSetId,ToolNumberOfTightenings,TorqueDelta
D8481321      ,1,5407406,0.02
F9695697      ,1,4963914,0.04
C9410194      ,1,2138481,0.01
F9695697      ,1,4963915,0.15
E9556853      ,1,4414448,0.03
F7350022      ,1,58404,0.03
F7360944      ,1,706706,0.03
F8353464      ,1,1710983,0.05
E9556853      ,1,4414449,0.03
F7851954      ,1,370002,0.02
F7831631      ,1,370451,0.02
F7360940      ,1,7117,0.03
F7360946      ,1,656224,0
C8391460      ,1,1374862,0.01
D8584134      ,1,3126750,0.13
C8391460      ,1,1374863,0.02
D8584134      ,1,3126751,0.01
F9401178      ,1,653468,0.01
F9401174      ,2,1206327,0.01
F9711007      ,2,3703138,0.12
F9401174      ,2,1206328,0.12
D8584134      ,1,3126752,0.03
F9711007      ,2,3703139,0.16
F9401174      ,2,1206329,0.01
D8584134      ,1,3126753,0.15
D8481322      ,1,2795716,0.02
C8391460      ,1,1374864,0.01
F7360949      ,1,2069406,0.05
F7360941      ,1,2069066,0.01
F7812096      ,1,341616,0.02
F9711007      ,2,3703140,0.13
D8481322      ,1,2795717,0.04
C8780408      ,1,267398,0.02
A9400964      ,2,62443,0.04
A9400964      ,2,62444,0.05
C6500970      ,1,1038539,0.05
F7830399      ,1,588593,0.11
F9695698      ,2,3072774,0.02
F7830399      ,1,588594,0.11
F9695698      ,2,3072775,0.06
D8586612      ,1,2338690,0.04
D8584134      ,1,3126754,0.12
D8584134      ,1,3126755,0.13
F9695697      ,1,4963916,0.01
D8481321      ,1,5407407,0.04
D8584134      ,1,3126756,0.01
F9695697      ,1,4963917,0.08
C9410194      ,1,2138482,0.03
D8584134      ,1,3126757,0.13
F7360944      ,1,706707,0.04
F7350022      ,1,58405,0.02
E9556853      ,1,4414450,0.02
F8353464      ,1,1710984,0.06
F7831631      ,1,370452,0.02
F7360940      ,1,7118,0.01
F7360946      ,1,656225,0.03
F7851954      ,1,370003,0.02
E9556853      ,1,4414451,0.04
C8391460      ,1,1374865,0.02
F7360941      ,1,2069069,0
F7360949      ,1,2069409,0.09
F7812096      ,1,341619,0.05
D8481322      ,1,2795718,0.02
C8391460      ,1,1374866,0.03
F9401178      ,1,653469,0.05
C8780408      ,1,267399,0.03
D8481322      ,1,2795719,0.05
F7830399      ,1,588595,0.11
F9401174      ,2,1206330,0.14
F9711007      ,2,3703141,0.19
F9401174      ,2,1206331,0.14
F7830399      ,1,588596,0.05
F9711007      ,2,3703142,0.55
F9401174      ,2,1206332,0.05
F9711007      ,2,3703143,0.29
D8584134      ,1,3126758,0.01
A9400964      ,2,62445,0.04
F9695698      ,2,3072776,0.11
C6500970      ,1,1038540,0.04
D8584134      ,1,3126759,0.07
A9400964      ,2,62446,0.03
F9711007      ,2,3703144,0.11
F9695698      ,2,3072777,0.01
D8586612      ,1,2338691,0.03
D8584134      ,1,3126760,0.04
D8584134      ,1,3126761,0.04
F9695697      ,1,4963918,0.02
D8481321      ,1,5407408,0.03
C9410194      ,1,2138483,0.07
F9695697      ,1,4963919,0.09
C9410194      ,1,2138484,0.01
F7350022      ,1,58406,0.02
F7360944      ,1,706708,0.03
F8353464      ,1,1710985,0.07
F7831631      ,1,370453,0.01
F7851954      ,1,370004,0.02
F7360946      ,1,656226,0
F7360940      ,1,7119,0.01
C8780408      ,1,267400,0.01
C8391460      ,1,1374867,0.05
D8584134      ,1,3126762,0.08
C8391460      ,1,1374868,0.02
E9556853      ,1,4414452,0.03
D8481322      ,1,2795720,0.01
F7360949      ,1,2069412,0.01
F7360941      ,1,2069072,0.01
F7812096      ,1,341622,0.08
D8584134      ,1,3126763,0.07
F9401178      ,1,653470,0.03
E9556853      ,1,4414453,0.04
D8481322      ,1,2795721,0.03
F7830399      ,1,588597,0.14
F9711007      ,2,3703145,0.22
F9401174      ,2,1206333,0.09
D8584134      ,1,3126764,0.11
F9401174      ,2,1206334,0.18
F9711007      ,2,3703146,0.19
D8584134      ,1,3126765,0.03
F7830399      ,1,588598,0.07
F9401174      ,2,1206335,0.13
F9711007      ,2,3703147,0.18
F9695697      ,1,4963920,0.02
F9695698      ,2,3072778,0.07
D8586612      ,1,2338692,0.01
F9695697      ,1,4963921,0.04
A9400964      ,2,62447,0.03
F9695698      ,2,3072779,0.36
A9400964      ,2,62448,0.02
D8481321      ,1,5407409,0.01
D8584134      ,1,3126766,0.04
C8391460      ,1,1374869,0.03
C8391460      ,1,1374870,0.03
F7350022      ,1,58407,0.01
D8584134      ,1,3126767,0.03
F7360944      ,1,706709,0.02
E9556853      ,1,4414454,0.05
C8780408      ,1,267401,0.02
F8353464      ,1,1710986,0.02
D8584134      ,1,3126768,0.08
F7360946      ,1,656227,0.02
F7851954      ,1,370005,0.02
F7360940      ,1,7120,0.05
F7831631      ,1,370454,0.01
C9410194      ,1,2138485,0.05
E9556853      ,1,4414455,0.03
F7830399      ,1,588599,0.1
D8584134      ,1,3126769,0.17
F7830399      ,1,588600,0.07
F9711007      ,2,3703148,0.02
F9401174      ,2,1206336,0.1
F9401174      ,2,1206337,0.02
F9711007      ,2,3703149,0.07
F9401174      ,2,1206338,0.08
F9711007      ,2,3703150,0.15
F9401178      ,1,653471,0.1
D8584134      ,1,3126770,0.02
D8584134      ,1,3126771,0.19
F9695698      ,2,3072780,0.06
C8391460      ,1,1374871,0.02
D8586612      ,1,2338693,0
D8584134      ,1,3126772,0.03
A9400964      ,2,62449,0.06
F9695698      ,2,3072781,0.06
C8391460      ,1,1374872,0.02
A9400964      ,2,62450,0.06
D8584134      ,1,3126773,0.01
D8481321      ,1,5407410,0.03
C8780408      ,1,267402,0.02
F7350022      ,1,58408,0.02
F7830399      ,1,588601,0.08
F7360944      ,1,706710,0.03
C9410194      ,1,2138486,0.06
F8353464      ,1,1710987,0.08
E9556853      ,1,4414456,0.06
F7360946      ,1,656228,0.01
F7360940      ,1,7121,0.02
F7831631      ,1,370455,0.02
F7851954      ,1,370006,0.01
C6500970      ,1,1038541,0.01
F7830399      ,1,588602,0.04
E9556853      ,1,4414457,0.14
F9401174      ,2,1206339,0.09
F9695697      ,1,4963922,0.03
F9711007      ,2,3703151,0.21
F9401174      ,2,1206340,0.02
F9711007      ,2,3703152,0.13
F9695697      ,1,4963923,0.15
F9401174      ,2,1206341,0.02
D8584134      ,1,3126774,0.06
F9711007      ,2,3703153,0.25
F9401178      ,1,653472,0.09
D8584134      ,1,3126775,0.01
D8584134      ,1,3126776,0.15
A9400964      ,2,62451,0.04
D8584134      ,1,3126777,0.05
A9400964      ,2,62452,0.04
C8780408      ,1,267403,0.01
F9695698      ,2,3072782,0.09
C8391460      ,1,1374873,0.05
D8586612      ,1,2338694,0.01
C8391460      ,1,1374874,0.03
F9695698      ,2,3072783,0.08
C6500970      ,1,1038542,0.04
D8584134      ,1,3126778,0.06
D8481321      ,1,5407411,0.05
F9695697      ,1,4963924,0.06
C9410194      ,1,2138487,0.01
D8584134      ,1,3126779,0.01
F9695697      ,1,4963925,0.08
D8584134      ,1,3126780,0.18
F7350022      ,1,58409,0.03
F7360944      ,1,706711,0.04
E9556853      ,1,4414458,0.01
F7830399      ,1,588603,0.05
F8353464      ,1,1710988,0.12
D8584134      ,1,3126781,0.08
F7851954      ,1,370007,0.02
F7360946      ,1,656229,0.01
F7360940      ,1,7122,0.02
F7831631      ,1,370456,0.01
E9556853      ,1,4414459,0.07
F7830399      ,1,588604,0.08
F7360949      ,1,2069415,0.04
F7360941      ,1,2069075,0
F7812096      ,1,341625,0.04
F9401174      ,2,1206342,0.17
F9711007      ,2,3703154,0.05
F9401174      ,2,1206343,0.05
F9711007      ,2,3703155,0.15
F9401174      ,2,1206344,0.03
C6590301      ,3,561598,0.01
F9711007      ,2,3703156,0.28
A9400964      ,2,62453,0.03
A9400964      ,2,62454,0.05
C6590301      ,3,561599,0.04
F9695698      ,2,3072784,0.06
C8780408      ,1,267404,0.01
C6500970      ,1,1038543,0.07
D8586612      ,1,2338695,0.02
F9695698      ,2,3072785,0.05
D8584134      ,1,3126782,0.12
F9401178      ,1,653473,0.02
C8391460      ,1,1374875,0.03
D8584134      ,1,3126783,0.13
C8391460      ,1,1374876,0.04
F9695697      ,1,4963926,0.12
D8481321      ,1,5407412,0.02
D8584134      ,1,3126784,0.07
F9695697      ,1,4963927,0.12
C9410194      ,1,2138488,0.02
D8584134      ,1,3126785,0.2
E9556853      ,1,4414460,0
F7350022      ,1,58410,0.04
F7360944      ,1,706712,0
E9556853      ,1,4414461,0.04
F7360946      ,1,656230,0.03
F7851954      ,1,370008,0.05
F7360940      ,1,7123,0.01
F7831631      ,1,370457,0.02
F8353464      ,1,1710989,0.03
F9401174      ,2,1206345,0.06
F9401174      ,2,1206346,0.09
F9711007      ,2,3703157,0.01
F9401174      ,2,1206347,0.09
F9711007      ,2,3703158,0.09
D8584134      ,1,3126786,0.12
F9711007      ,2,3703159,0.23
F7830399      ,1,588605,0.16
A9400964      ,2,62455,0.02
D8584134      ,1,3126787,0.02
A9400964      ,2,62456,0.03
F7830399      ,1,588606,0.11
F9695698      ,2,3072786,0.07
D8584134      ,1,3126788,0.05
C6500970      ,1,1038544,0.01
D8584134      ,1,3126789,0.01
F9695698      ,2,3072787,0.02
D8586612      ,1,2338696,0.01
F9695697      ,1,4963928,0.03
C8391460      ,1,1374877,0.03
F9695697      ,1,4963929,0.07
D8481321      ,1,5407413,0.02
C8391460      ,1,1374878,0.05
C9410194      ,1,2138489,0.05
F7360944      ,1,706713,0
F7350022      ,1,58411,0.06
F8353464      ,1,1710990,0.11
F7851954      ,1,370009,0
F7360940      ,1,7124,0.02
F7360946      ,1,656231,0.01
F7831631      ,1,370458,0
E9556853      ,1,4414462,0.06
E9556853      ,1,4414463,0.05
C8780408      ,1,267405,0.01
F7830399      ,1,588607,0.05
F9401174      ,2,1206348,0.1
F7830399      ,1,588608,0.11
F9711007      ,2,3703160,0.19
F9401174      ,2,1206349,0.14
A9400964      ,2,62457,0.04
F9711007      ,2,3703161,0.39
F9401174      ,2,1206350,0.07
A9400964      ,2,62458,0.05
F9695698      ,2,3072788,0.02
F9711007      ,2,3703162,0.26
C6500970      ,1,1038545,0.02
F9695698      ,2,3072789,0.05
F9695697      ,1,4963930,0.02
F9695697      ,1,4963931,0.07
C8391460      ,1,1374879,0.02
C8391460      ,1,1374880,0.02
D8586612      ,1,2338697,0.02
D8481321      ,1,5407414,0.04
C9410194      ,1,2138490,0.02
F7350022      ,1,58412,0.01
F7360944      ,1,706714,0.05
C8780408      ,1,267406,0.02
F7360946      ,1,656232,0
F7851954      ,1,370010,0
F7360940      ,1,7125,0.02
F7831631      ,1,370459,0.02
F8353464      ,1,1710991,0.06
F7830399      ,1,588609,0.09
F7830399      ,1,588610,0.07
F9695698      ,2,3072790,0.08
F9401174      ,2,1206351,0.02
C6500970      ,1,1038546,0.04
F9711007      ,2,3703163,0.25
F9401174      ,2,1206352,0.06
F9695698      ,2,3072791,0.02
F9711007      ,2,3703164,0.19
F9695697      ,1,4963932,0.08
F9401174      ,2,1206353,0.02
F9711007      ,2,3703165,0.12
F9695697      ,1,4963933,0.03
E9556853      ,1,4414464,0.03
E9556853      ,1,4414465,0
D8586612      ,1,2338698,0.02
C8780408      ,1,267407,0.02
D8481321      ,1,5407415,0.04
F7830399      ,1,588611,0.15
C9410194      ,1,2138491,0
F7350022      ,1,58413,0.03
F7360944      ,1,706715,0
F7830399      ,1,588612,0.06
F8353464      ,1,1710992,0.16
F7360946      ,1,656233,0.04
F7851954      ,1,370011,0.01
F7831631      ,1,370460,0
F7360940      ,1,7126,0.02
E9556853      ,1,4414466,0.02
F9401174      ,2,1206354,0.01
F9711007      ,2,3703166,0.34
E9556853      ,1,4414467,0.02
F9401174      ,2,1206355,0.02
F9711007      ,2,3703167,0.31
F9401174      ,2,1206356,0.17
F9711007      ,2,3703168,0.24
F7360944      ,1,706716,0
F7350022      ,1,58414,0.03
F7851954      ,1,370012,0.01
F7360940      ,1,7127,0.01
F7360946      ,1,656234,0.01
F7831631      ,1,370461,0.02
F9695697      ,1,4963934,0.06
F9695697      ,1,4963935,0.07
F7830399      ,1,588613,0.08
F7830399      ,1,588614,0.12
C9410194      ,1,2138492,0.07
C6500970      ,1,1038547,0.03
D8586612      ,1,2338699,0.01
D8481321      ,1,5407416,0.03
F8353464      ,1,1710993,0.06
C8780408      ,1,267408,0.03
F9401174      ,2,1206357,0.14
F9711007      ,2,3703169,0.35
F9711007      ,2,3703170,0.18
F9695697      ,1,4963936,0.1
F9401174      ,2,1206358,0.07
F9711007      ,2,3703171,0.19
F9401174      ,2,1206359,0.07
F9695697      ,1,4963937,0.07
F9695698      ,2,3072792,0.01
F9695698      ,2,3072793,0.07
C8780408      ,1,267409,0.02
F9695698      ,2,3072794,0.03
D8586612      ,1,2338700,0.01
C6500970      ,1,1038548,0.06
F9695698      ,2,3072795,0.02
D8481321      ,1,5407417,0.02
F7350022      ,1,58415,0.06
C9410194      ,1,2138493,0.02
F7360944      ,1,706717,0.03
F8353464      ,1,1710994,0.01
F7831631      ,1,370462,0
F7360946      ,1,656235,0
F7360940      ,1,7128,0.04
F7851954      ,1,370013,0.02
F7830399      ,1,588615,0.06
F7830399      ,1,588616,0.1
F9401174      ,2,1206360,0.02
F9711007      ,2,3703172,0.11
F9695698      ,2,3072796,0.06
F9401174      ,2,1206361,0.22
F9695698      ,2,3072797,0.06
F9711007      ,2,3703173,0.11
F9401174      ,2,1206362,0.09
F9695697      ,1,4963938,0.04
F9711007      ,2,3703174,0.2
C6500970      ,1,1038549,0.03
F9695697      ,1,4963939,0.05
D8586612      ,1,2338701,0.01
D8481321      ,1,5407418,0
C9410194      ,1,2138494,0.02
F9695698      ,2,3072798,0.04
F7360944      ,1,706718,0.04
F7350022      ,1,58416,0.03
F7360946      ,1,656236,0.03
F9695698      ,2,3072799,0.08
F7360940      ,1,7129,0
F7851954      ,1,370014,0.02
F7831631      ,1,370463,0.01
C6500970      ,1,1038550,0.05
F8353464      ,1,1710995,0.08
F9401174      ,2,1206363,0.03
F9711007      ,2,3703175,0.3
F9401174      ,2,1206364,0.08
F9711007      ,2,3703176,0.28
F9695697      ,1,4963940,0.04
F9711007      ,2,3703177,0.37
F9401174      ,2,1206365,0.03
F9695697      ,1,4963941,0.04
D8586612      ,1,2338702,0.03
D8481321      ,1,5407419,0.02
C9410194      ,1,2138495,0.03
F7350022      ,1,58417,0.01
F7360944      ,1,706719,0.05
F7360940      ,1,7130,0
F7360946      ,1,656237,0
F7831631      ,1,370464,0.02
F8353464      ,1,1710996,0.12
F7851954      ,1,370015,0
F9695698      ,2,3072800,0.04
F9695698      ,2,3072801,0.21
D8586612      ,1,2338703,0.04
D8481321      ,1,5407420,0
C9410194      ,1,2138496,0.02
F7360944      ,1,706720,0.02
F7350022      ,1,58418,0.02
F8353464      ,1,1710997,0.13
F7360946      ,1,656238,0.01
F7851954      ,1,370016,0.02
F7360940      ,1,7131,0.06
F7831631      ,1,370465,0.02
F9695698      ,2,3072802,0.07
F9695698      ,2,3072803,0.08
D8586612      ,1,2338704,0
D8481321      ,1,5407421,0.03
F7360944      ,1,706721,0.01
F7350022      ,1,58419,0.05
F7360940      ,1,7132,0.02
F7360946      ,1,656239,0
F7831631      ,1,370466,0
F7851954      ,1,370017,0.03
F8353464      ,1,1710998,0.07
D8481322      ,1,2795722,0.08
D8481322      ,1,2795723,0.05
F7360941      ,1,2069078,0.01
F7360949      ,1,2069418,0.01
F7812096      ,1,341628,0.01
D8481322      ,1,2795724,0.09
D8481322      ,1,2795725,0.02
F9401178      ,1,653474,0.01
F7360941      ,1,2069081,0
F7360949      ,1,2069421,0
F7812096      ,1,341631,0.06
D8481322      ,1,2795726,0
D8481322      ,1,2795727,0.1
F7360941      ,1,2069084,0.03
F7812096      ,1,341634,0.04
F7360949      ,1,2069424,0.04
F9401178      ,1,653475,0.07
D8481322      ,1,2795728,0.14
D8481322      ,1,2795729,0.02
A9400964      ,2,62459,0.04
A9400964      ,2,62460,0.06
F9401178      ,1,653476,0.05
C8391460      ,1,1374881,0.05
F9695697      ,1,4963942,0.06
F9695697      ,1,4963943,0.08
C8391460      ,1,1374882,0.04
C6500970      ,1,1038551,0.06
C8780408      ,1,267410,0.03
F7830399      ,1,588617,0.09
F9695698      ,2,3072804,0.03
F7360941      ,1,2069087,0
F7360949      ,1,2069427,0.03
F7812096      ,1,341637,0.02
F9695698      ,2,3072805,0.03
F7830399      ,1,588618,0.13
D8586612      ,1,2338705,0.04
D8481322      ,1,2795730,0.11
E9556853      ,1,4414468,0.07
D8481322      ,1,2795731,0.06
D8481321      ,1,5407422,0.03
E9556853      ,1,4414469,0.03
F7350022      ,1,58420,0.03
F7360944      ,1,706722,0.04
F9401178      ,1,653477,0
F7851954      ,1,370018,0.02
F7831631      ,1,370467,0.04
F7360946      ,1,656240,0.01
F7360940      ,1,7133,0.01
A9400964      ,2,62461,0.01
F8353464      ,1,1710999,0.06
A9400964      ,2,62462,0.04
C8391460      ,1,1374883,0.04
F9695697      ,1,4963944,0.04
C8391460      ,1,1374884,0.02
C6500970      ,1,1038552,0.07
F9695697      ,1,4963945,0.07
C8780408      ,1,267411,0.02
F7360941      ,1,2069090,0.01
F7812096      ,1,341640,0
F7360949      ,1,2069430,0.01
F7830399      ,1,588619,0.04
E9556853      ,1,4414470,0.05
F7830399      ,1,588620,0.13
E9556853      ,1,4414471,0.13
F9695698      ,2,3072806,0.09
F9695698      ,2,3072807,0.1
D8586612      ,1,2338706,0.02
D8481321      ,1,5407423,0
F9711007      ,2,3703178,0.16
D8481322      ,1,2795732,0.03
F9401174      ,2,1206366,0.03
A9400964      ,2,62463,0.01
F9711007      ,2,3703179,0.13
F9401178      ,1,653478,0.02
A9400964      ,2,62464,0.06
F9401174      ,2,1206367,0.17
D8481322      ,1,2795733,0.07
F9711007      ,2,3703180,0
F9401174      ,2,1206368,0.07
C8391460      ,1,1374885,0.02
F8353464      ,1,1711000,0.13
C8391460      ,1,1374886,0.03
E9556853      ,1,4414472,0
F9695697      ,1,4963946,0.03
C8780408      ,1,267412,0.02
E9556853      ,1,4414473,0
F9695697      ,1,4963947,0.12
C6500970      ,1,1038553,0.05
F7360941      ,1,2069093,0.02
F7812096      ,1,341643,0.05
F7360949      ,1,2069433,0.06
F9695698      ,2,3072808,0.11
F9695698      ,2,3072809,0.06
D8481322      ,1,2795734,0.07
A9400964      ,2,62465,0.03
F7830399      ,1,588621,0.27
F9401174      ,2,1206369,0.12
D8586612      ,1,2338707,0
D8481322      ,1,2795735,0.03
A9400964      ,2,62466,0.05
F9711007      ,2,3703181,0.23
C9410194      ,1,2138497,0.05
F7830399      ,1,588622,0.07
D8481321      ,1,5407424,0.01
F9401174      ,2,1206370,0.1
F9711007      ,2,3703182,0.18
C9410194      ,1,2138498,0.09
F9711007      ,2,3703183,0.53
F9401174      ,2,1206371,0.04
C8391460      ,1,1374887,0.03
F9711007      ,2,3703184,0.16
F9401178      ,1,653479,-1.41
C8391460      ,1,1374888,0.03
F9401178      ,1,653480,0
F8353464      ,1,1711001,0.03
F9401178      ,1,653481,0.03
E9556853      ,1,4414474,0.03
F9695697      ,1,4963948,0.07
F7360941      ,1,2069096,0
F7360949      ,1,2069436,0.02
F7812096      ,1,341646,0.03
E9556853      ,1,4414475,0.04
F9695697      ,1,4963949,0.05
C8780408      ,1,267413,0.04
D8481322      ,1,2795736,0.07
C6500970      ,1,1038554,0.04
D8481322      ,1,2795737,0.01
C9410194      ,1,2138499,0.08
A9400964      ,2,62467,0.03
F7830399      ,1,588623,0.12
F9711007      ,2,3703185,0.11
C6590301      ,3,561600,0.01
F9401174      ,2,1206372,0.01
A9400964      ,2,62468,0.04
C8391460      ,1,1374889,0.04
F7830399      ,1,588624,0.07
F9711007      ,2,3703186,0.12
F9695698      ,2,3072810,0.01
C6590301      ,3,561601,0.04
F9401174      ,2,1206373,0.03
C8391460      ,1,1374890,0.03
F9711007      ,2,3703187,0.25
F9695698      ,2,3072811,0.1
F9401174      ,2,1206374,0.09
D8586612      ,1,2338708,0.02
F9401178      ,1,653482,0.03
D8481321      ,1,5407425,0
E9556853      ,1,4414476,0.07
E9556853      ,1,4414477,0.15
F7360949      ,1,2069439,0.07
F7360941      ,2,2069099,0.03
F7812096      ,1,341649,0.01
D8481322      ,1,2795738,0.04
F8353464      ,1,1711002,0.03
D8481322      ,1,2795739,0.13
F7360944      ,1,706723,0.06
F7350022      ,1,58421,0.02
F7831631      ,1,370468,0.01
F7360940      ,1,7134,0.06
F7851954      ,1,370019,0.01
F7360946      ,1,656241,0.01
F9695697      ,1,4963950,0.07
C9410194      ,1,2138500,0.02
A9400964      ,2,62469,0.03
F9695697      ,1,4963951,0.09
C8391460      ,1,1374891,0.04
A9400964      ,2,62470,0.03
F9401174      ,2,1206375,0
F9711007      ,2,3703188,0.02
C8780408      ,1,267414,0
C6500970      ,1,1038555,0.07
C8391460      ,1,1374892,0.02
F9401178      ,1,653483,0.06
F9711007      ,2,3703189,0.27
F9401174      ,2,1206376,0.01
F7830399      ,1,588625,0.07
F9711007      ,2,3703190,0.14
F9401174      ,2,1206377,0.04
F9695698      ,2,3072812,0.18
F9695698      ,2,3072813,0.07
F7830399      ,1,588626,0.01
D8586612      ,1,2338709,0.03
D8481321      ,1,5407426,0.02
F7360941      ,2,2069102,0.05
F7360949      ,1,2069442,0.12
F7812096      ,1,341652,0.04
F7360944      ,1,706724,0.03
F7350022      ,1,58422,0.02
E9556853      ,1,4414478,0.06
F7360940      ,1,7135,0.01
F7851954      ,1,370020,0.03
F7360946      ,1,656242,0.01
F7831631      ,1,370469,0
E9556853      ,1,4414479,0.03
F8353464      ,1,1711003,0.04
F9401174      ,2,1206378,0.16
C9410194      ,1,2138501,0.06
F9711007      ,2,3703191,0.21
A9400964      ,2,62471,0.05
F9401178      ,1,653484,0.01
A9400964      ,2,62472,0.01
C9410194      ,1,2138502,0.05
F9401174      ,2,1206379,0.05
F9711007      ,2,3703192,0.16
D8481322      ,1,2795740,0.13
F9695697      ,1,4963952,0.05
F9711007      ,2,3703193,0.19
F9401174      ,2,1206380,0.05
C8391460      ,1,1374893,0.02
D8481322      ,1,2795741,0.14
F9695697      ,1,4963953,0.03
C6500970      ,1,1038556,0.07
C8780408      ,1,267415,0.03
C8391460      ,1,1374894,0.04
F7350022      ,1,58423,0.02
F7360944      ,1,706725,0.01
E9556853      ,1,4414480,0.01
F7360946      ,1,656243,0.02
F7831631      ,1,370470,0.03
F7360940      ,1,7136,0.02
F7851954      ,1,370021,0.03
F7830399      ,1,588627,0.09
E9556853      ,1,4414481,0.02
F9695698      ,2,3072814,0.04
F7830399      ,1,588628,0.03
F9695698      ,2,3072815,0.04
A9400964      ,2,62473,0.04
A9400964      ,2,62474,0.04
F7360941      ,3,2069105,0.02
F7360949      ,1,2069445,0
F7812096      ,1,341655,0.04
C9410194      ,1,2138503,0.03
D8586612      ,1,2338710,0.02
D8481322      ,1,2795742,0.02
F9401174      ,2,1206381,0.04
F9711007      ,2,3703194,0.38
D8481321      ,1,5407427,0
D8481322      ,1,2795743,0.02
F9711007      ,2,3703195,0.11
F9401174      ,2,1206382,0.09
C8391460      ,1,1374895,0.05
F9711007      ,2,3703196,0.13
E9556853      ,1,4414482,0.09
F9401174      ,2,1206383,0.08
C8391460      ,1,1374896,0.03
F8353464      ,1,1711004,0.01
E9556853      ,1,4414483,0
F9401178      ,1,653485,0.06
A9400964      ,2,62475,0.01
A9400964      ,2,62476,0.06
F9695697      ,1,4963954,0.09
F7812096      ,1,341658,0.03
F7360941      ,3,2069108,0.05
F7360949      ,1,2069448,0.03
F7350022      ,1,58424,0.01
F7360944      ,1,706726,0.03
F9695697      ,1,4963955,0.05
C6500970      ,1,1038557,0.04
F7360946      ,1,656244,0.03
F7851954      ,1,370022,0
F7831631      ,1,370471,0
F7360940      ,1,7137,0.02
C8780408      ,1,267416,0.02
D8481322      ,1,2795744,0.04
F9401174      ,2,1206384,0.07
C8391460      ,1,1374897,0.03
F9711007      ,2,3703197,0.24
F7830399      ,1,588629,0.1
D8481322      ,1,2795745,0.12
C9410194      ,1,2138504,0.02
F9711007      ,2,3703198,0.1
F9401174      ,2,1206385,0.01
D8586612      ,1,2338711,0.02
C8391460      ,1,1374898,0.03
F7830399      ,1,588630,0.08
C9410194      ,1,2138505,0.05
F9695698      ,2,3072816,0
E9556853      ,1,4414484,0.03
F9401174      ,2,1206386,0.1
F9711007      ,2,3703199,0.29
F9695698      ,2,3072817,0.05
E9556853      ,1,4414485,0.02
D8481321      ,1,5407428,0.01
C8391460      ,1,1374899,0.03
D8584134      ,1,3126790,0.07
F9401178      ,1,653486,0
F7360944      ,1,706727,0.02
F7350022      ,1,58425,0.04
F7851954      ,1,370023,0.05
F7360946      ,1,656245,0
F7360940      ,1,7138,0.01
F7831631      ,1,370472,0.01
F8353464      ,1,1711005,0.04
D8584134      ,1,3126791,0.14
F7360941      ,1,2069111,0.03
F7360949      ,1,2069451,0
F7812096      ,1,341661,0
D8584134      ,1,3126792,0.09
D8584134      ,1,3126793,0.09
D8481322      ,1,2795746,0.01
C9410194      ,1,2138506,0
D8481322      ,1,2795747,0.03
F9401174      ,2,1206387,0.12
F9711007      ,2,3703200,0.31
F9695697      ,1,4963956,0.08
F9711007      ,2,3703201,0.29
F9401174      ,2,1206388,0.23
F9695697      ,1,4963957,0.02
C8780408      ,1,267417,0.04
F9711007      ,2,3703202,0.15
F9401174      ,2,1206389,0.16
A9400964      ,2,62477,0.04
C6500970      ,1,1038558,0.06
F7830399      ,1,588631,0.06
A9400964      ,2,62478,0.05
D8584134      ,1,3126794,0.13
C8391460      ,1,1374900,0.07
F9695698      ,2,3072818,0.2
F7830399      ,1,588632,0.06
F9695698      ,2,3072819,0.09
C8391460      ,1,1374901,0.03
D8586612      ,1,2338712,0.02
F9401178      ,1,653487,0.02
D8584134      ,1,3126795,0.09
F7360949      ,1,2069454,0.04
F7360941      ,1,2069114,0.02
F7812096      ,1,341664,0.03
D8481321      ,1,5407429,0.01
D8584134      ,1,3126796,0.19
D8481322      ,1,2795748,0.01
D8584134      ,1,3126797,0.2
D8481322      ,1,2795749,0.01
E9556853      ,1,4414486,0.03
F7360944      ,1,706728,0.01
F7350022      ,1,58426,0.02
C9410194      ,1,2138507,0.05
E9556853      ,1,4414487,0.05
F8353464      ,1,1711006,0.06
F7360946      ,1,656246,0.02
F7360940      ,1,7139,0.02
F7851954      ,1,370024,0.01
F7831631      ,1,370473,0.01
F9401174      ,2,1206390,0.12
F9711007      ,2,3703203,0
F9695697      ,1,4963958,0.01
F9401174      ,2,1206391,0.04
F9711007      ,2,3703204,0.12
C8780408      ,1,267418,0.01
F9695697      ,1,4963959,0.03
F7830399      ,1,588633,0.05
F9401174      ,2,1206392,0.1
F9711007      ,2,3703205,0.18
C6500970      ,1,1038559,0.02
F7830399      ,1,588634,0.09
A9400964      ,2,62479,0.04
F9401178      ,1,653488,-3.84
A9400964      ,2,62480,0.02
D8584134      ,1,3126798,0.04
F7360941      ,1,2069117,0.03
F7360949      ,1,2069457,0.03
F9401178      ,1,653489,-4.23
F7812096      ,1,341667,0.02
D8584134      ,1,3126799,0.11
F9401178      ,1,653490,0.04
D8584134      ,1,3126800,0.03
C8391460      ,1,1374902,0.03
F9695698      ,2,3072820,0.06
D8584134      ,1,3126801,0.12
F7360944      ,1,706729,0.05
F7350022      ,1,58427,0.04
F9695698      ,2,3072821,0.08
F7851954      ,1,370025,0.03
F7360940      ,1,7140,0.03
F7360946      ,1,656247,0.02
F7831631      ,1,370474,0.03
C8391460      ,1,1374903,0.03
D8586612      ,1,2338713,0.02
E9556853      ,1,4414488,0.14
F7830399      ,1,588635,0.08
