ToolSerialNumber,ParameterSetId,DateOfScrewings,DailyAverageTorqueDelta,DailyAverageAngleDelta
"F3660289      ",37,2022-01-22,-0.1463513513513513513513513514,-57.699324324324324324324324324
"F3660289      ",14,2022-01-22,0.0395535714285714285714285714,-4822.6979166666666666666666667
"B5582642      ",3,2022-01-22,0.0829807692307692307692307692,-8.098290598290598290598290598
"F3660289      ",15,2022-01-22,0.0351785714285714285714285714,-4961.6517857142857142857142857
"B5582642      ",3,2022-01-23,0.3607894736842105263157894737,-7.850877192982456140350877193
"B5582642      ",3,2022-01-24,0.2027906976744186046511627907,-8.157894736842105263157894737
"F3660289      ",37,2022-01-24,-0.4085576923076923076923076923,-65.766025641025641025641025641
"F3660289      ",14,2022-01-24,0.0186106346483704974271012007,-4826.6037735849056603773584906
"F3660289      ",15,2022-01-24,0.0309844559585492227979274611,-4968.3341968911917098445595855
"F3660289      ",37,2022-01-25,-0.2263157894736842105263157895,-26.843920145190562613430127042
"B5582642      ",3,2022-01-25,-0.1127644652250146113383985973,-8.824663939216832261835184103
"F3660289      ",14,2022-01-25,0.0335943060498220640569395018,-4817.4457295373665480427046263
"F3660289      ",15,2022-01-25,0.0248284960422163588390501319,-4965.5197889182058047493403694
"B5582642      ",3,2022-01-26,0.3759693877551020408163265306,-7.5165816326530612244897959184
"F3660289      ",37,2022-01-26,-0.2856292517006802721088435374,-52.108843537414965986394557823
"F3660289      ",14,2022-01-26,0.0345686619718309859154929577,-4845.1672535211267605633802817
"F3660289      ",15,2022-01-26,0.0265706806282722513089005236,-4964.5026178010471204188481675
"F3660289      ",37,2022-01-27,-0.337336683417085427135678392,-8.664991624790619765494137353
"F3660289      ",14,2022-01-27,0.0395549738219895287958115183,-4853.8385689354275741710296684
"B5582642      ",3,2022-01-27,-0.1370591787439613526570048309,-8.235507246376811594202898551
"F3660289      ",15,2022-01-27,0.0269712793733681462140992167,-4963.4255874673629242819843342
"F3660289      ",37,2022-01-28,-0.3327962085308056872037914692,-36.644549763033175355450236967
"F3660289      ",14,2022-01-28,0.0307672413793103448275862069,-4867.6741379310344827586206897
"B5582642      ",3,2022-01-28,0.2164745972738537794299876084,-7.6232961586121437422552664188
"F3660289      ",15,2022-01-28,0.0152971576227390180878552972,-4965.8242894056847545219638243
"F3660289      ",37,2022-01-29,-0.323125,-56.43125
"B5582642      ",3,2022-01-29,0.368828125,-7.65625
"F3660289      ",14,2022-01-29,0.0262807017543859649122807018,-4878.677192982456140350877193
"B5582642      ",3,2022-01-31,0.037307012374779021803182086,-8.011196228638774307601649971
"F3660289      ",37,2022-01-31,-0.4636423841059602649006622517,-28.384105960264900662251655629
"F3660289      ",14,2022-01-31,0.0123116438356164383561643836,-4870.4974315068493150684931507
"F3660289      ",15,2022-01-31,0.0174484536082474226804123711,-4961.5798969072164948453608247
"B5582642      ",3,2022-02-01,-0.0551715374841168996188055909,-8.049555273189326556543837357
"F3660289      ",37,2022-02-01,-0.266976,-49.2672
"F3660289      ",14,2022-02-01,0.0237812789620018535681186284,-4881.3132530120481927710843373
"F3660289      ",15,2022-02-01,0.0341899441340782122905027933,-4963.2765363128491620111731844
"B5582642      ",3,2022-02-02,0.1551415984896161107614852108,-7.057268722466960352422907489
"F3660289      ",37,2022-02-02,-0.3823064770932069510268562401,-16.563981042654028436018957346
"F3660289      ",14,2022-02-02,0.032486338797814207650273224,-4862.9963570127504553734061931
"F3660289      ",15,2022-02-02,0.0319178082191780821917808219,-4968.8986301369863013698630137
"B5582642      ",3,2022-02-03,0.1556576463184392699811202014,-7.1409691629955947136563876652
