ToolSerialNumber,ParameterSetId,DateOfScrewings,NumberOfOkScrewings,NumberOfNokScrewings
"B5582642      ",3,2022-02-15,1516,72
"F3660289      ",37,2022-02-15,484,89
"F3660289      ",14,2022-02-15,1107,25
"F3660289      ",15,2022-02-15,369,3
"B5582642      ",3,2022-02-16,1530,63
"F3660289      ",14,2022-02-16,1140,34
"F3660289      ",15,2022-02-16,380,2
"F3660289      ",37,2022-02-16,499,55
"B5582642      ",3,2022-02-17,1496,41
"F3660289      ",37,2022-02-17,513,102
"F3660289      ",14,2022-02-17,1119,26
"F3660289      ",15,2022-02-17,374,11
"B5582642      ",3,2022-02-18,1533,30
"F3660289      ",37,2022-02-18,531,69
"F3660289      ",14,2022-02-18,1116,18
"F3660289      ",15,2022-02-18,372,11
"F3660289      ",14,2022-02-19,651,19
"F3660289      ",15,2022-02-19,217,0
"B5582642      ",3,2022-02-19,882,43
"F3660289      ",37,2022-02-19,278,45
"F3660289      ",14,2022-02-21,1149,12
"F3660289      ",15,2022-02-21,383,2
"B5582642      ",3,2022-02-21,1553,71
"F3660289      ",37,2022-02-21,538,63
"B5582642      ",3,2022-02-20,138,10
"F3660289      ",37,2022-02-20,47,6
"F3660289      ",14,2022-02-20,102,2
"F3660289      ",15,2022-02-20,34,0
"B5582642      ",3,2022-02-22,1526,47
"F3660289      ",37,2022-02-22,540,71
"F3660289      ",14,2022-02-22,1122,27
"F3660289      ",15,2022-02-22,374,8
"B5582642      ",3,2022-02-23,1528,32
"F3660289      ",37,2022-02-23,542,79
"F3660289      ",14,2022-02-23,1112,16
"F3660289      ",15,2022-02-23,370,3
"B5582642      ",3,2022-02-24,1593,124
"F3660289      ",37,2022-02-24,538,86
"F3660289      ",14,2022-02-24,1162,10
"F3660289      ",15,2022-02-24,387,10
"B5582642      ",3,2022-02-25,1598,37
"F3660289      ",14,2022-02-25,1194,6
"F3660289      ",15,2022-02-25,398,0
"F3660289      ",37,2022-02-25,526,34
"F3660289      ",14,2022-02-26,801,4
"F3660289      ",15,2022-02-26,267,0
"B5582642      ",3,2022-02-26,1070,46
"F3660289      ",37,2022-02-26,384,55
"F3660289      ",14,2022-02-28,1134,12
"F3660289      ",15,2022-02-28,378,2
"B5582642      ",3,2022-02-28,1536,81
"F3660289      ",37,2022-02-28,500,85
"B5582642      ",3,2022-02-27,134,12
"F3660289      ",14,2022-02-27,96,1
"F3660289      ",15,2022-02-27,32,1
"F3660289      ",37,2022-02-27,46,3
"F3660289      ",37,2022-03-01,496,40
"B5582642      ",3,2022-03-01,1574,58
"F3660289      ",14,2022-03-01,1164,7
"F3660289      ",15,2022-03-01,388,1
"B5582642      ",3,2022-03-02,1604,44
"F3660289      ",37,2022-03-02,466,59
"F3660289      ",14,2022-03-02,1204,5
"F3660289      ",15,2022-03-02,401,5
"B5582642      ",3,2022-03-03,1524,121
"F3660289      ",14,2022-03-03,1125,5
"F3660289      ",37,2022-03-03,388,22
"F3660289      ",15,2022-03-03,375,15
"B5582642      ",3,2022-03-04,1584,55
"F3660289      ",37,2022-03-04,510,34
"F3660289      ",14,2022-03-04,1206,25
"F3660289      ",15,2022-03-04,402,5
"F3660289      ",14,2022-03-07,741,25
"B5582642      ",3,2022-03-05,364,3
"F3660289      ",14,2022-03-05,270,3
"F3660289      ",15,2022-03-07,247,4
"B5582642      ",3,2022-03-07,1012,11
"F3660289      ",15,2022-03-05,91,2
"F3660289      ",37,2022-03-05,108,9
"F3660289      ",37,2022-03-07,264,48
"B5582642      ",3,2022-03-06,140,41
"F3660289      ",14,2022-03-06,108,0
"F3660289      ",15,2022-03-06,36,1
"F3660289      ",37,2022-03-06,51,0
"F3660289      ",14,2022-03-08,1155,30
"F3660289      ",15,2022-03-08,385,3
"B5582642      ",3,2022-03-08,1582,20
"F3660289      ",37,2022-03-08,338,31
"F3660289      ",14,2022-03-09,1149,7
"F3660289      ",15,2022-03-09,383,6
"B5582642      ",3,2022-03-09,1576,32
"F3660289      ",37,2022-03-09,423,34
"B5582642      ",3,2022-03-10,1510,64
"F3660289      ",37,2022-03-10,398,39
"F3660289      ",14,2022-03-10,1128,19
"F3660289      ",15,2022-03-10,377,3
"F3660289      ",37,2022-03-11,442,48
"B5582642      ",3,2022-03-11,1548,107
"F3660289      ",14,2022-03-11,1134,29
"F3660289      ",15,2022-03-11,378,8
"F3660289      ",14,2022-03-12,285,2
"F3660289      ",15,2022-03-12,95,2
"B5582642      ",3,2022-03-12,386,26
"F3660289      ",37,2022-03-12,90,15
"B5582642      ",3,2022-03-13,16,0
"F3660289      ",37,2022-03-13,2,1
"F3660289      ",14,2022-03-13,12,0
"F3660289      ",15,2022-03-13,4,0
"F3660289      ",37,2022-03-16,195,20
"F3660289      ",14,2022-03-16,429,11
"F3660289      ",15,2022-03-16,143,2
"B5582642      ",3,2022-03-16,558,44
"F3660289      ",14,2022-03-17,255,6
"B5582642      ",3,2022-03-17,334,48
"F3660289      ",15,2022-03-17,85,3
"F3660289      ",37,2022-03-17,105,12
"B5582642      ",3,2022-03-18,690,115
"F3660289      ",37,2022-03-18,218,16
"F3660289      ",14,2022-03-18,498,12
"F3660289      ",15,2022-03-18,166,3
"B5582642      ",3,2022-03-19,606,34
"F3660289      ",37,2022-03-19,195,15
"F3660289      ",14,2022-03-19,438,15
"F3660289      ",15,2022-03-19,146,2
"F3660289      ",37,2022-03-21,223,23
"B5582642      ",3,2022-03-21,655,68
"F3660289      ",14,2022-03-21,495,36
"F3660289      ",15,2022-03-21,165,3
"B5582642      ",3,2022-03-22,650,76
"F3660289      ",37,2022-03-22,183,20
"F3660289      ",14,2022-03-22,501,17
"F3660289      ",15,2022-03-22,167,4
"B5582642      ",3,2022-03-23,570,25
"F3660289      ",14,2022-03-23,438,16
"F3660289      ",15,2022-03-23,146,1
"F3660289      ",37,2022-03-23,173,21
"F3660289      ",37,2022-03-24,208,9
"F3660289      ",14,2022-03-24,561,16
"F3660289      ",15,2022-03-24,187,4
"B5582642      ",3,2022-03-24,726,17
"F3660289      ",14,2022-03-25,492,7
"F3660289      ",15,2022-03-25,164,0
"B5582642      ",3,2022-03-25,508,123
"F3660289      ",37,2022-03-25,232,17
"F3660289      ",14,2022-03-26,531,17
"F3660289      ",15,2022-03-26,177,4
"F3660289      ",37,2022-03-26,275,36
"F3660289      ",14,2022-03-28,513,9
"F3660289      ",15,2022-03-28,171,1
"F3660289      ",37,2022-03-28,232,22
"F3660289      ",37,2022-03-29,241,18
"F3660289      ",14,2022-03-29,561,17
"F3660289      ",15,2022-03-29,187,0
"F3660289      ",37,2022-03-30,225,7
"F3660289      ",14,2022-03-30,543,7
"F3660289      ",15,2022-03-30,181,1
"F3660289      ",14,2022-03-31,591,17
"F3660289      ",15,2022-03-31,197,7
"F3660289      ",37,2022-03-31,297,40
"F3660289      ",37,2022-04-01,239,38
"F3660289      ",14,2022-04-01,558,10
"F3660289      ",15,2022-04-01,186,1
"F3660289      ",37,2022-04-04,297,21
"F3660289      ",14,2022-04-04,639,13
"F3660289      ",15,2022-04-04,213,2
"F3660289      ",37,2022-04-05,290,21
"F3660289      ",14,2022-04-05,657,18
"F3660289      ",15,2022-04-05,219,4
"F3660289      ",14,2022-04-06,639,14
"F3660289      ",15,2022-04-06,213,2
"F3660289      ",37,2022-04-06,242,35
"F3660289      ",37,2022-04-07,234,24
"F3660289      ",14,2022-04-07,642,11
"F3660289      ",15,2022-04-07,214,1
"B5582642      ",3,2022-04-07,500,31
"B5582642      ",3,2022-04-08,910,34
"F3660289      ",37,2022-04-08,313,17
"F3660289      ",14,2022-04-08,684,2
"F3660289      ",15,2022-04-08,229,2
"F3660289      ",14,2022-04-19,786,8
"F3660289      ",15,2022-04-19,262,0
"B5582642      ",3,2022-04-19,1012,47
"B5582642      ",3,2022-04-20,1552,47
"F3660289      ",37,2022-04-19,331,14
"F3660289      ",37,2022-04-20,494,28
"F3660289      ",14,2022-04-20,1182,5
"F3660289      ",15,2022-04-20,394,0
"B5582642      ",3,2022-04-21,1536,55
"F3660289      ",37,2022-04-21,471,19
"F3660289      ",14,2022-04-21,1176,8
"F3660289      ",15,2022-04-21,392,1
"B5582642      ",3,2022-04-22,1538,84
"F3660289      ",14,2022-04-22,1188,9
"F3660289      ",15,2022-04-22,396,2
"F3660289      ",37,2022-04-22,514,34
"F3660289      ",14,2022-04-23,291,0
"F3660289      ",15,2022-04-23,97,0
"B5582642      ",3,2022-04-23,392,8
"F3660289      ",37,2022-04-23,115,9
"B5582642      ",3,2022-04-25,1556,87
"F3660289      ",37,2022-04-25,550,39
"F3660289      ",14,2022-04-25,1182,10
"F3660289      ",15,2022-04-25,394,1
"B5582642      ",3,2022-04-24,130,8
"F3660289      ",37,2022-04-24,39,0
"F3660289      ",14,2022-04-24,96,1
"F3660289      ",15,2022-04-24,32,0
"F3660289      ",14,2022-04-26,1170,10
"F3660289      ",15,2022-04-26,390,1
"B5582642      ",3,2022-04-26,1523,167
"F3660289      ",37,2022-04-26,544,49
"B5582642      ",3,2022-04-27,1441,103
"F3660289      ",14,2022-04-27,1108,3
"F3660289      ",15,2022-04-27,369,1
"F3660289      ",37,2022-04-27,383,15
"F3660289      ",5,2022-04-25,28,0
"B5582642      ",3,2022-04-28,1482,88
"F3660289      ",14,2022-04-28,1125,14
"F3660289      ",15,2022-04-28,376,5
"F3660289      ",37,2022-04-28,337,29
"B5582642      ",3,2022-04-29,1549,99
"F3660289      ",14,2022-04-29,1191,2
"F3660289      ",15,2022-04-29,397,0
"F3660289      ",37,2022-04-29,350,15
"F3660289      ",14,2022-04-30,369,3
"B5582642      ",3,2022-04-30,488,23
"F3660289      ",15,2022-04-30,124,2
"F3660289      ",37,2022-04-30,125,3
"B5582642      ",3,2022-05-02,1164,111
"F3660289      ",14,2022-05-02,894,2
"F3660289      ",15,2022-05-02,298,0
"F3660289      ",37,2022-05-02,288,13
"B5582642      ",3,2022-05-03,1574,125
"F3660289      ",14,2022-05-03,1179,17
"F3660289      ",15,2022-05-03,394,1
"F3660289      ",37,2022-05-03,394,23
"B5582642      ",3,2022-05-04,1582,88
"F3660289      ",37,2022-05-04,409,52
"F3660289      ",14,2022-05-04,1180,12
"F3660289      ",15,2022-05-04,393,4
"F3660289      ",14,2022-05-05,1169,12
"F3660289      ",15,2022-05-05,390,0
"B5582642      ",3,2022-05-05,1551,114
"F3660289      ",37,2022-05-05,414,45
"B5582642      ",3,2022-05-06,1625,99
"F3660289      ",14,2022-05-06,1194,8
"F3660289      ",15,2022-05-06,398,0
"F3660289      ",37,2022-05-06,462,34
"B5582642      ",3,2022-05-07,376,16
"F3660289      ",37,2022-05-07,129,9
"F3660289      ",14,2022-05-07,288,4
"F3660289      ",15,2022-05-07,96,0
"B5582642      ",3,2022-05-09,1619,134
"F3660289      ",14,2022-05-09,1221,6
"F3660289      ",15,2022-05-09,407,2
"F3660289      ",37,2022-05-09,504,27
"B5582642      ",3,2022-05-08,126,28
"F3660289      ",14,2022-05-08,81,1
"F3660289      ",15,2022-05-08,27,0
"F3660289      ",37,2022-05-08,35,1
"B5582642      ",3,2022-05-10,1586,141
"F3660289      ",14,2022-05-10,1189,12
"F3660289      ",15,2022-05-10,396,4
"F3660289      ",5,2022-05-10,30,0
"F3660289      ",37,2022-05-10,480,23
"B5582642      ",3,2022-05-11,1534,176
"F3660289      ",37,2022-05-11,505,23
"F3660289      ",14,2022-05-11,1164,18
"F3660289      ",15,2022-05-11,388,2
